project_ID,latitude,longitude,precision_code,geoname_ID,geoname
872261149744,-14.03333,33.7,1,927979,Likuni
872261149744,-13.51667,33.71667,1,926087,Mponela
872261149744,-11.9,33.6,1,925498,Mzimba
872261149744,-15.06667,35.21667,1,927834,Liwonde
872261149744,,,8,927384,Republic of Malawi
872261149744,-15.38333,35.33333,1,923295,Zomba
872261149744,-11.45,33.91667,1,925475,Mzuzu
872261149744,-14.46667,35.26667,1,927246,Mangochi
872261149744,-13.98333,33.78333,1,927967,Lilongwe
872261149744,-13.03333,33.48333,1,928534,Kasungu
872261149744,-15.78333,35,1,931755,Blantyre
872261149753,-16,35.58333,3,925788,Mulanje District
872261149753,-14.5,35.25,3,927245,Mangochi District
872261149753,-14.91667,35.66667,3,927642,Machinga District
872261149753,-16.16667,35.16667,3,930283,Thyolo District
872261149760,,,8,927384,Republic of Malawi
872261149765,,,6,927384,Republic of Malawi
872261149770,-15.38853,35.33802,1,7839248,University of Malawi - Chancellor College
872261149770,-15.3792,35.32466,2,7839250,University of Malawi Administration
872261149770,-11.422,33.99323,1,7839253,Mzuzu University
872261149770,,,6,927384,Republic of Malawi
872261149770,-15.385957,35.318801,2,923295,Zomba
872261149770,-14.35,34.316667,1,930020,Dedza Secondary School
872261149770,-13.9979,33.78497,1,7839261,Lilongwe Girls Secondary School
872261149770,-15.78464,35.02928,1,7839263,Blantyre Secondary School
872261149770,-11.45739,34.05049,1,7839264,Mzuzu Government Secondary School
872261149772,-9.75,33.25,3,235749,Chitipa District
872261149772,-15.43007,35.41829,3,923292,Zomba District
872261149772,-13.75,34.5,3,924053,Salima District
872261149772,-10.75,33.83333,3,924100,Rumphi District
872261149772,-16.75,35.16667,3,924567,Nsanje District
872261149772,-11.5,34,3,924730,Nkhata Bay District
872261149772,-14,33.58333,3,927964,Lilongwe District
872261149772,-14.16667,34.33333,3,930023,Dedza District
872261149772,-16.16667,34.75,3,931067,Chikwawa District
872261149772,-15.5,35,3,931754,Blantyre District
872261149772,-15.66667,35.66667,3,1105842,Phalombe District
872261149783,,,6,927384,Republic of Malawi
872261149787,-13.789378,33.781,2,6297121,Lilongwe International Airport
872261149787,-14.183333,33.8,1,931702,Bunda Estate
872261149787,-13.71887,34.62545,1,929757,Grand Beach Hotel
872261149787,-12.361617,33.556007,1,7668896,Jenda Growth Point
872261149787,-15.430074,35.418291,3,923292,Zomba District
872261149787,-15.385957,35.318801,1,923295,Zomba
872261149787,-13.719594,34.401842,3,924053,Salima District
872261149787,-12.804172,34.082977,3,924703,Nkhotakota District
872261149787,-12.916667,34.3,1,924705,Nkhotakota
872261149787,-11.65304,34.053218,3,924730,Nkhata Bay District
872261149787,-11.854277,33.607776,3,925496,Mzimba District
872261149787,-13.8,32.9,1,926747,Mchinji
872261149787,,,8,927384,Republic of Malawi
872261149787,-15.809008,35.060176,1,927955,Limbe
872261149787,-14.019624,33.68407,3,927964,Lilongwe District
872261149787,-15.752677,35.215762,3,930579,Chiradzulu District
872261149787,-15.647316,34.939562,3,931754,Blantyre District
872261149787,-15.786823,35.013868,1,931755,Blantyre
872261149787,-15.80316,35.01163,1,7869971,Mahatma Gandhi Road
872261149787,-15.81003,35.06671,1,7869974,Churchill Road
872261149787,-15.77425,35.03128,1,7869982,Ndirande Road
872261149787,-15.80706,35.02757,1,7870004,Kenyatta Drive
872261149787,-13.97817,33.77045,1,7870007,Chilambula Road
