latitude,longitude
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.96692,33.78725
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.96692,33.78725
-13.5,34
-13.5,34
-13.96692,33.78725
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-15.78499,35.00854
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.96692,33.78725
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-14.39296,35.34658
-13.5,34
-13.5,34
-13.5,34
-14.47815,35.26448
-13.96692,33.78725
-13.5,34
-15.78499,35.00854
-13.96692,33.78725
-13.5,34
-15.78499,35.00854
-13.5,34
-13.5,34
-13.96692,33.78725
-13.96692,33.78725
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.96692,33.78725
-13.5,34
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-15.78499,35.00854
-13.5,34
-13.5,34
-13.96692,33.78725
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.79841,32.88019
-13.5,34
-13.79841,32.88019
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.7623,33.07998
-13.5,34
-13.5,34
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-15.78499,35.00854
-15.78499,35.00854
-13.96692,33.78725
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-15.78499,35.00854
-13.96692,33.78725
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.5,34
-13.96692,33.78725
-13.96692,33.78725
-13.5,34
-13.5,34
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-15.38596,35.3188
-13.5,34
-13.5,34
-13.5,34
-13.96692,33.78725
