latitude,longitude
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-15.5,35
-15.5,35
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-15.78499,35.00854
-15.5,35
-13.96692,33.78725
-13.5,34
-14.82027,34.63586
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-15.78499,35.00854
-15.5,35
-16.91995,35.26199
-15.5,35
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-16.03352,34.80091
-15.5,35
-15.78499,35.00854
-15.5,35
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
-13.96692,33.78725
-13.5,34
