type, geonameid, lat, lng
focus-countries, 927384, -13.5, 34
focus-countries, 927384, -13.5, 34
focus-countries, 927384, -13.5, 34
focus-countries, 927384, -13.5, 34
focus-countries, 927384, -13.5, 34
focus-countries, 927384, -13.5, 34
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-states, 923817, -15.5, 35
mention, 1105840, -15.04839, 35.0591
focus-states, 923817, -15.5, 35
mention, 1105840, -15.04839, 35.0591
focus-countries, 927384, -13.5, 34
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-countries, 927384, -13.5, 34
focus-countries, 927384, -13.5, 34
focus-cities, 931755, -15.78499, 35.00854
focus-countries, 927384, -13.5, 34
focus-countries, 927384, -13.5, 34
focus-cities, 927967, -13.96692, 33.78725
focus-countries, 927384, -13.5, 34
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-countries, 927384, -13.5, 34
focus-cities, 931755, -15.78499, 35.00854
mention, 924567, -16.75, 35.16667
focus-cities, 924572, -16.91995, 35.26199
focus-countries, 927384, -13.5, 34
focus-cities, 927967, -13.96692, 33.78725
focus-countries, 927384, -13.5, 34
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 2961832, 53.35222, -7.20167
focus-cities, 927967, -13.96692, 33.78725
focus-countries, 927384, -13.5, 34
focus-countries, 927384, -13.5, 34
focus-cities, 931070, -16.03352, 34.80091
focus-states, 923817, -15.5, 35
mention, 931755, -15.78499, 35.00854
focus-countries, 927384, -13.5, 34
focus-countries, 927384, -13.5, 34
focus-cities, 927967, -13.96692, 33.78725
mention, 924329, -12, 34.5
focus-cities, 927967, -13.96692, 33.78725
focus-countries, 927384, -13.5, 34
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
focus-cities, 927967, -13.96692, 33.78725
