"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
757,135,"MWI","Malawi",12,"Mangochi","","Mangoche|Fort Johnston","District","District"
758,135,"MWI","Malawi",13,"Mchinji","","Fort Manning","District","District"
759,135,"MWI","Malawi",14,"Mulanje","","Mlange|Mlanje","District","District"
760,135,"MWI","Malawi",15,"Mwanza","","","District","District"
761,135,"MWI","Malawi",16,"Mzimba","","","District","District"
762,135,"MWI","Malawi",17,"Nkhata Bay","","Chinteche","District","District"
763,135,"MWI","Malawi",18,"Nkhotakota","","Kota Kota","District","District"
764,135,"MWI","Malawi",19,"Nsanje","","Port Herald","District","District"
765,135,"MWI","Malawi",20,"Ntcheu","","Ncheu","District","District"
766,135,"MWI","Malawi",21,"Ntchisi","","Nchisi","District","District"
767,135,"MWI","Malawi",22,"Phalombe","","","District","District"
768,135,"MWI","Malawi",23,"Rumphi","","Rumpi","District","District"
769,135,"MWI","Malawi",24,"Salima","","","District","District"
770,135,"MWI","Malawi",25,"Thyolo","","Cholo","District","District"
771,135,"MWI","Malawi",26,"Zomba","","","District","District"
1833,135,"MWI","Malawi",1,"Balaka","","","District","District"
1834,135,"MWI","Malawi",2,"Blantyre","","","District","District"
1835,135,"MWI","Malawi",3,"Chikwawa","","","District","District"
1836,135,"MWI","Malawi",4,"Chiradzulu","","","District","District"
1837,135,"MWI","Malawi",5,"Chitipa","","","District","District"
1838,135,"MWI","Malawi",6,"Dedza","","","District","District"
1839,135,"MWI","Malawi",7,"Dowa","","","District","District"
1840,135,"MWI","Malawi",8,"Karonga","","","District","District"
1841,135,"MWI","Malawi",9,"Kasungu","","","District","District"
1842,135,"MWI","Malawi",10,"Lilongwe","","","District","District"
1843,135,"MWI","Malawi",11,"Machinga","","Kasupe|Kasupi|Liwonde","District","District"
