"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
39821,135,"MWI","Malawi",8,"Karonga",63,"TA Kyungu",819,"n.a. (76)","","","Unknown","Unknown"
39822,135,"MWI","Malawi",8,"Karonga",63,"TA Kyungu",820,"n.a. (79)","","","Unknown","Unknown"
39823,135,"MWI","Malawi",8,"Karonga",63,"TA Kyungu",821,"n.a. (82)","","","Unknown","Unknown"
39824,135,"MWI","Malawi",8,"Karonga",63,"TA Kyungu",822,"n.a. (83)","","","Unknown","Unknown"
39825,135,"MWI","Malawi",8,"Karonga",63,"TA Kyungu",823,"n.a. (84)","","","Unknown","Unknown"
39826,135,"MWI","Malawi",8,"Karonga",64,"TA Wasambo",824,"n.a. (100)","","","Unknown","Unknown"
39827,135,"MWI","Malawi",8,"Karonga",64,"TA Wasambo",825,"n.a. (101)","","","Unknown","Unknown"
39828,135,"MWI","Malawi",8,"Karonga",64,"TA Wasambo",826,"n.a. (102)","","","Unknown","Unknown"
39829,135,"MWI","Malawi",8,"Karonga",64,"TA Wasambo",827,"n.a. (104)","","","Unknown","Unknown"
39830,135,"MWI","Malawi",8,"Karonga",64,"TA Wasambo",828,"n.a. (105)","","","Unknown","Unknown"
39831,135,"MWI","Malawi",8,"Karonga",64,"TA Wasambo",829,"n.a. (92)","","","Unknown","Unknown"
39832,135,"MWI","Malawi",8,"Karonga",64,"TA Wasambo",830,"n.a. (94)","","","Unknown","Unknown"
39833,135,"MWI","Malawi",8,"Karonga",64,"TA Wasambo",831,"n.a. (96)","","","Unknown","Unknown"
39834,135,"MWI","Malawi",8,"Karonga",64,"TA Wasambo",832,"n.a. (97)","","","Unknown","Unknown"
39835,135,"MWI","Malawi",8,"Karonga",64,"TA Wasambo",833,"n.a. (98)","","","Unknown","Unknown"
39836,135,"MWI","Malawi",8,"Karonga",64,"TA Wasambo",834,"n.a. (99)","","","Unknown","Unknown"
39837,135,"MWI","Malawi",9,"Kasungu",65,"Kasungu Boma",835,"n.a. (465)","","","Unknown","Unknown"
39838,135,"MWI","Malawi",9,"Kasungu",65,"Kasungu Boma",836,"n.a. (467)","","","Unknown","Unknown"
39839,135,"MWI","Malawi",9,"Kasungu",65,"Kasungu Boma",837,"n.a. (472)","","","Unknown","Unknown"
39840,135,"MWI","Malawi",9,"Kasungu",65,"Kasungu Boma",838,"n.a. (473)","","","Unknown","Unknown"
39841,135,"MWI","Malawi",9,"Kasungu",65,"Kasungu Boma",839,"n.a. (474)","","","Unknown","Unknown"
39842,135,"MWI","Malawi",9,"Kasungu",65,"Kasungu Boma",840,"n.a. (476)","","","Unknown","Unknown"
43475,135,"MWI","Malawi",3,"Chikwawa",21,"TA Makhwira",270,"n.a. (2952)","","","Unknown","Unknown"
43476,135,"MWI","Malawi",3,"Chikwawa",21,"TA Makhwira",271,"n.a. (2957)","","","Unknown","Unknown"
43477,135,"MWI","Malawi",3,"Chikwawa",21,"TA Makhwira",272,"n.a. (2964)","","","Unknown","Unknown"
43478,135,"MWI","Malawi",3,"Chikwawa",21,"TA Makhwira",273,"n.a. (2968)","","","Unknown","Unknown"
43479,135,"MWI","Malawi",3,"Chikwawa",21,"TA Makhwira",274,"n.a. (2976)","","","Unknown","Unknown"
43480,135,"MWI","Malawi",3,"Chikwawa",21,"TA Makhwira",275,"n.a. (2979)","","","Unknown","Unknown"
